id,latitude,longitude,name,display_name,zone,total_lines,rail
1,48.8843997149084,2.33839938417104,Abbesses,Abbesses,2.33839938417104,1,0
2,48.9700771763045,2.07761818200838,Achères-Ville,Achères-Ville,2.07761818200838,1,0
3,49.0106207175917,2.56321615646988,Aeroport Charles de Gaulle 1,Aeroport Charles de Gaulle 1,2.56321615646988,1,0
4,48.8280660196865,2.32682742005084,Alésia,Alésia,2.32682742005084,1,0
5,48.8564263483252,2.39455425765499,Alexandre-Dumas,Alexandre-Dumas,2.39455425765499,1,0
6,48.8642986710467,2.30125141044993,Alma-Marceau,Alma-Marceau,2.30125141044993,1,0
7,48.8920186263289,2.28551744479448,Anatole-France,Anatole-France,2.28551744479448,1,0
8,48.7548274850388,2.30086507059831,Antony,Antony,2.30086507059831,1,0
9,48.8828716901806,2.34416357280039,Anvers,Anvers,2.34416357280039,1,0
10,48.7984604738998,2.32792175214199,Arcueil-Cachan,Arcueil-Cachan,2.32792175214199,1,0
11,48.8756724859879,2.28944416448145,Argentine,Argentine,2.28944416448145,1,0
12,48.8655518636348,2.35610815512031,Arts-et-Métiers,Arts-et-Métiers,2.35610815512031,2,0
13,48.8614539042949,2.32030969050736,Assemblée Nationale,Assemblée Nationale,2.32030969050736,1,0
14,48.872608179941,2.32970681644823,Auber,Auber,2.32970681644823,1,0
15,48.9038980475295,2.39248007867247,Aubervilliers Pantin (4 Chemins),Aubervilliers Pantin (4 Chemins),2.39248007867247,1,0
16,48.9321087626391,2.49330956258133,Aulnay-sous-Bois,Aulnay-sous-Bois,2.49330956258133,1,0
17,48.8468521519498,2.29544882793447,Avenue Emile-Zola,Avenue Emile-Zola,2.29544882793447,1,0
18,48.8511938192133,2.39823914082312,Avron,Avron,2.39823914082312,1,0
19,48.7932557963438,2.321324996318,Bagneux,Bagneux,2.321324996318,1,0
20,48.8839317699344,2.34935570859965,Barbès-Rochechouart,Barbès-Rochechouart,2.34935570859965,2,0
21,48.9364774926505,2.35963974530458,Basilique de Saint-Denis,Basilique de Saint-Denis,2.35963974530458,1,0
22,48.8529756746542,2.36921882444334,Bastille,Bastille,2.36921882444334,2,0
23,48.8421778264757,2.40114243430575,Bel-Air,Bel-Air,2.40114243430575,1,0
24,48.8719457979749,2.3767510413738,Belleville,Belleville,2.3767510413738,2,0
25,48.8453687501573,2.42824450962049,Bérault,Bérault,2.42824450962049,1,0
26,48.8401922444035,2.37947725726606,Bercy,Bercy,2.37947725726606,1,0
27,48.8320876442825,2.23816077687551,Billancourt,Billancourt,2.23816077687551,1,0
28,48.8543272185524,2.28881010373612,Bir-Hakeim (Grenelle),Bir-Hakeim (Grenelle),2.28881010373612,1,0
29,48.9322011699976,2.47675087121991,Blanc-Mesnil,Blanc-Mesnil,2.47675087121991,1,0
30,48.8837705188318,2.33248514827409,Blanche,Blanche,2.33248514827409,1,0
31,48.9071473125516,2.44945750453114,Bobigny-Pablo-Picasso,Bobigny-Pablo-Picasso,2.44945750453114,1,0
32,48.895799232549,2.42485729839759,Bobigny-Pantin (Raymond Queneau),Bobigny-Pantin (Raymond Queneau),2.42485729839759,1,0
33,48.8668561547603,2.29003807344501,Boissière,Boissière,2.29003807344501,1,0
34,48.7529886446666,2.50522284595675,Boissy-Saint-Léger,Boissy-Saint-Léger,2.50522284595675,1,0
35,48.8807901228285,2.37415512666265,Bolivar,Bolivar,2.37415512666265,1,0
36,48.870495832331,2.3488621174406,Bonne Nouvelle,Bonne Nouvelle,2.3488621174406,1,0
37,48.8796070889331,2.38941556965321,Botzaris,Botzaris,2.38941556965321,1,0
38,48.840680163122,2.22831366172434,Boulogne Pont de Saint-Cloud,Boulogne Pont de Saint-Cloud,2.22831366172434,1,0
39,48.8422801435297,2.23886297536727,Boulogne-Jean-Jaurès,Boulogne-Jean-Jaurès,2.23886297536727,1,0
40,48.7800509377689,2.31216262595979,Bourg-la-Reine,Bourg-la-Reine,2.31216262595979,1,0
41,48.8687617925964,2.3406741288121,Bourse,Bourse,2.3406741288121,1,0
42,48.8567679495405,2.37077385838438,Bréguet-Sabin,Bréguet-Sabin,2.37077385838438,1,0
43,48.8906266330241,2.32019112127533,Brochant,Brochant,2.32019112127533,1,0
44,48.8444264548331,2.52639366725601,Bry-sur-Marne,Bry-sur-Marne,2.52639366725601,1,0
45,48.6957326504055,2.16308967515621,Bures-sur-Yvette,Bures-sur-Yvette,2.16308967515621,1,0
46,48.8366508282027,2.70985405854363,Bussy-Saint-Georges,Bussy-Saint-Georges,2.70985405854363,1,0
47,48.8778039560078,2.38121109973599,Buttes-Chaumont,Buttes-Chaumont,2.38121109973599,1,0
48,48.8517674745052,2.40118148387264,Buzenval,Buzenval,2.40118148387264,1,0
49,48.8758257180382,2.34334512457327,Cadet,Cadet,2.34334512457327,1,0
